<BR><BR>DEBUG 2023-04-22 09:43:56,108 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-22 09:43:56,108 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-22 09:43:56,109 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-22 09:43:56,108 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-22 09:43:56,108 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-22 09:43:56,108 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR> INFO 2023-04-22 09:43:56,108 org.quartz.core.QuartzScheduler - Scheduler DefaultQuartzScheduler_$_NON_CLUSTERED shutdown complete.
<BR><BR>DEBUG 2023-04-22 09:43:56,109 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-22 09:43:56,109 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-22 09:43:57,204 megasoft.ActionServlet - Iniciando el Logger desde el Action Servlet
<BR><BR>ERROR 2023-04-22 09:44:33,035 models.bcv.mesas_lectura.LeerarchivoMenudeo - LecturaCargaMesa : leerCargaGeneral() java.lang.Exception: db.get: ORA-00942: table or view does not exist
; SQL=select msc_user_id from msc_user where userid='NM11383'
<BR><BR>ERROR 2023-04-22 09:44:33,036 models.bcv.mesas_lectura.LeerarchivoMenudeo - LecturaCargaMesa : finalizarProceso()java.lang.NullPointerException
<BR><BR> INFO 2023-04-22 09:50:38,450 org.quartz.core.QuartzScheduler - Scheduler DefaultQuartzScheduler_$_NON_CLUSTERED shutting down.
<BR><BR> INFO 2023-04-22 09:50:38,450 org.quartz.core.QuartzScheduler - Scheduler DefaultQuartzScheduler_$_NON_CLUSTERED paused.
<BR><BR>DEBUG 2023-04-22 09:50:38,450 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-22 09:50:38,450 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
